epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,898.847,1.10677,0.73595,1.04567,0.83925,0.8336,0.89858,0.5817,1.18665,0.82082,1.13432,0.000287801,0.000287801,0.000287801
123,906.01,1.07971,0.72614,1.05185,0.8117,0.85321,0.89937,0.58122,1.18502,0.82379,1.13108,0.000278369,0.000278369,0.000278369
124,913.204,1.07164,0.73514,1.05426,0.83946,0.81907,0.89478,0.5777,1.1787,0.81542,1.12566,0.000268938,0.000268938,0.000268938
125,920.481,1.08948,0.7219,1.06156,0.84591,0.82393,0.89206,0.57452,1.17884,0.80664,1.12604,0.000259506,0.000259506,0.000259506
126,927.761,1.09566,0.74319,1.06569,0.83996,0.83123,0.8924,0.57465,1.17919,0.80405,1.12751,0.000250075,0.000250075,0.000250075
127,935.148,1.11068,0.74437,1.07385,0.84264,0.83135,0.89422,0.57525,1.17897,0.80694,1.12884,0.000240644,0.000240644,0.000240644
128,942.246,1.07773,0.71368,1.06073,0.84134,0.83138,0.89419,0.57297,1.18444,0.8077,1.13364,0.000231212,0.000231212,0.000231212
129,949.489,1.12395,0.72936,1.06442,0.83074,0.83141,0.8927,0.57152,1.19019,0.81259,1.1372,0.000221781,0.000221781,0.000221781
130,956.679,1.09123,0.74916,1.0596,0.83351,0.83283,0.89375,0.57574,1.18954,0.81965,1.13918,0.000212349,0.000212349,0.000212349
131,963.91,1.1121,0.74764,1.069,0.82938,0.83406,0.89223,0.576,1.18878,0.82173,1.13842,0.000202918,0.000202918,0.000202918
132,971.114,1.06491,0.71956,1.05474,0.81658,0.83753,0.89133,0.57346,1.19487,0.82397,1.1387,0.000193487,0.000193487,0.000193487
133,978.467,1.10168,0.72456,1.06807,0.80609,0.84261,0.89254,0.58121,1.193,0.8201,1.13647,0.000184055,0.000184055,0.000184055
134,985.643,1.1152,0.73567,1.07957,0.81494,0.83851,0.89479,0.58103,1.1815,0.81822,1.13495,0.000174624,0.000174624,0.000174624
135,992.899,1.0711,0.71829,1.03794,0.82329,0.83612,0.89672,0.58329,1.17921,0.81649,1.13469,0.000165192,0.000165192,0.000165192
136,1000.12,1.08729,0.7189,1.04774,0.83974,0.83633,0.89517,0.58572,1.17846,0.81481,1.13603,0.000155761,0.000155761,0.000155761
137,1007.32,1.09862,0.72093,1.05179,0.84153,0.83511,0.89652,0.58599,1.17757,0.81175,1.13452,0.00014633,0.00014633,0.00014633
138,1014.53,1.10248,0.73047,1.0661,0.83826,0.84377,0.8974,0.58385,1.18184,0.8136,1.13492,0.000136898,0.000136898,0.000136898
139,1021.69,1.07435,0.711,1.04776,0.83764,0.84052,0.89702,0.58469,1.18045,0.81302,1.13358,0.000127467,0.000127467,0.000127467
140,1028.86,1.07887,0.72536,1.05525,0.83369,0.84296,0.89672,0.58482,1.1808,0.81516,1.13554,0.000118035,0.000118035,0.000118035
141,1036.04,1.0763,0.86695,1.06179,0.83154,0.84133,0.89341,0.57234,1.18229,0.83357,1.13582,0.000108604,0.000108604,0.000108604
142,1042.92,1.07579,0.86716,1.0498,0.80288,0.86922,0.88773,0.56607,1.18982,0.85483,1.13825,9.91726e-05,9.91726e-05,9.91726e-05
143,1049.84,1.05573,0.79601,1.02945,0.79361,0.87576,0.88459,0.56363,1.19302,0.8602,1.13797,8.97412e-05,8.97412e-05,8.97412e-05
144,1056.74,1.06035,0.75777,1.04785,0.7907,0.85697,0.88161,0.56173,1.19553,0.86117,1.13263,8.03098e-05,8.03098e-05,8.03098e-05
145,1063.91,1.05179,0.7637,1.0409,0.7747,0.87082,0.87939,0.55772,1.20112,0.86427,1.1307,7.08784e-05,7.08784e-05,7.08784e-05
146,1071.05,1.05419,0.75291,1.03463,0.77,0.86377,0.87609,0.55683,1.20077,0.86293,1.13009,6.1447e-05,6.1447e-05,6.1447e-05
147,1078.14,1.071,0.75808,1.02753,0.76264,0.8671,0.87443,0.55966,1.19796,0.86206,1.13004,5.20156e-05,5.20156e-05,5.20156e-05
148,1085.12,1.04304,0.73812,1.01016,0.78501,0.85203,0.87425,0.55354,1.19609,0.8543,1.13243,4.25842e-05,4.25842e-05,4.25842e-05
149,1092.01,1.04794,0.75489,1.03554,0.76968,0.85895,0.87561,0.55953,1.19381,0.84964,1.13714,3.31528e-05,3.31528e-05,3.31528e-05
150,1098.96,1.03355,0.73803,1.0433,0.78667,0.84641,0.87447,0.55903,1.19121,0.85146,1.14147,2.37214e-05,2.37214e-05,2.37214e-05
